,eta,epsilon,sigma_init,mu,K,MSE,MAE,MASE,MAPE,CB
264,0.1,0.35,0.4,0.2,8,0.08341407422885859,0.1917467318620448,7.4947886827199985,55039.324771527004,138
265,0.1,0.35,0.4,0.3,1,0.07868255322029212,0.191772774640445,7.554200358612425,62599.079387409656,138
266,0.1,0.35,0.4,0.3,2,0.07874701726711102,0.19184610416296552,7.55545432531392,62599.08156478588,138
267,0.1,0.35,0.4,0.3,4,0.07889633102691572,0.19203941217187467,7.559161503519261,62601.37695382896,138
268,0.1,0.35,0.4,0.3,6,0.07895800409112619,0.19209332617274896,7.560306502091578,62592.92265127456,138
269,0.1,0.35,0.4,0.3,8,0.07916867373200291,0.19230077697476847,7.563601650512562,62597.878088594014,138
270,0.1,0.35,0.4,0.4,1,0.07770807120367841,0.1947396844201657,7.704884746335681,68456.33734404975,138
271,0.1,0.35,0.4,0.4,2,0.0777649697598846,0.1948023601471294,7.705889312837686,68456.03740067924,138
272,0.1,0.35,0.4,0.4,4,0.07789387889371915,0.19496641782071444,7.708990394488962,68456.82726261824,138
273,0.1,0.35,0.4,0.4,6,0.07786866403721063,0.19493215863336136,7.708583811975152,68449.37827672211,138
274,0.1,0.35,0.4,0.4,8,0.07809237841615299,0.19514693139785882,7.711826585769837,68455.6406778221,138
275,0.1,0.35,0.6,0.05,1,0.1012192217427673,0.19513147234304626,7.608565586946603,35841.475791033794,138
276,0.1,0.35,0.6,0.05,2,0.10132574247183736,0.19524857908057702,7.611002772112439,35842.31259106595,138
277,0.1,0.35,0.6,0.05,4,0.10156116561389414,0.1955184192236739,7.616482217102172,35847.10968830313,138
278,0.1,0.35,0.6,0.05,6,0.10187034403084654,0.19581461718138657,7.623732635755889,35846.21157657832,138
279,0.1,0.35,0.6,0.05,8,0.1019978440692782,0.1959636578154248,7.627795478477826,35848.350132288404,138
280,0.1,0.35,0.6,0.1,1,0.09005198417355363,0.1907752847142916,7.451966670446355,44359.70425690636,138
281,0.1,0.35,0.6,0.1,2,0.09016889453816138,0.1909072174508938,7.4545648742535215,44360.56523035683,138
282,0.1,0.35,0.6,0.1,4,0.09043103503944282,0.19121357655860208,7.460569211618983,44366.16532772597,138
